folder,filename,filer,doctype,filing_date,description,source_url,bytes,onedrive_url
01_Filings/10Q,2025-05-12_CHRS_10Q_EX-32-1.pdf,CHRS,EX-32.1,2025-05-12,EX-32.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025007418/chrs-20250331xex32d1.htm,47374,
01_Filings/10Q,2025-05-12_CHRS_10Q_Q1-2025.pdf,CHRS,10-Q,2025-05-12,10-Q,https://www.sec.gov/Archives/edgar/data/1512762/000155837025007418/chrs-20250331x10q.htm,1010074,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCtXdEXQuX8R748nAQuwUnLATDEOodBUVbQqsTtflb1btA?e=mVDzkT
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-10-1.pdf,CHRS,EX-10.1,2025-08-07,EX-10.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex10d1.htm,175822,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQAV-2KcKqL4SqO2VUbvETKkAdyL36xEVp_Smsqq5jTD_fU?e=OmDGZY
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-10-2.pdf,CHRS,EX-10.2,2025-08-07,EX-10.2,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex10d2.htm,301761,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQBzM0VLzCh_Ta2d5HQX6vwCAYo5-qzQlIMt-oV4AISHOJE?e=eyaYtf
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-10-3.pdf,CHRS,EX-10.3,2025-08-07,EX-10.3,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex10d3.htm,160078,
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-10-4.pdf,CHRS,EX-10.4,2025-08-07,EX-10.4,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex10d4.htm,69956,
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-10-5.pdf,CHRS,EX-10.5,2025-08-07,EX-10.5,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex10d5.htm,267151,
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-10-6.pdf,CHRS,EX-10.6,2025-08-07,EX-10.6,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex10d6.htm,208847,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQDzcrmMs-6xSLfUyT0Eh1tsAUmRryFQK_geGNqQ2bg7vbY?e=bKbH1K
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-31-1.pdf,CHRS,EX-31.1,2025-08-07,EX-31.1,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex31d1.htm,40114,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCJTJWUDV8wQK20SQv40QEVAbFQjUIYKcvndpVWkpIPAJI?e=AcSOQx
01_Filings/10Q,2025-08-07_CHRS_10Q_EX-31-2.pdf,CHRS,EX-31.2,2025-08-07,EX-31.2,https://www.sec.gov/Archives/edgar/data/1512762/000155837025010803/chrs-20250630xex31d2.htm,39674,https://1drv.ms/b/c/8db6a5cc62b7ea10/IQCJj_cSW_GFRpQgMUJ2Eg9DAahG5T5ZXSrUa7fB9SgExVU?e=CPKlTD
